序号,公司/产品名,市场,类型,成立时间,创始人/团队,最新融资,核心产品(一句话),目标客户,重合度1-10,他们做了什么,他们缺什么,威胁等级,Layer1真实所见知识库,Layer2 Skills方法论,Layer3 Agent漏斗,信息置信度,关键观察
1,Delphi.ai,美国,直接竞品,2022,Dara Ladjevardian / Samuel Spelsberg (Miami),A轮$16M Sequoia领投(2025-06)种子$2.7M(2023-09),Digital Minds — 博主内容训练的文本/语音/视频 AI 克隆,作者/教练/顾问/演讲者/投资人/医生/影响者,9,多渠道部署+语音/视频通话+订阅制+付费聊天漏斗,弱切片矩阵/时间戳非营销核心/无明确Skills抽象/英文市场,高,中(有引用但非核心),弱,中,高,全球最强直接对标;Tyler Denk (Beehiiv CEO) 已在用;中文市场未触达
2,创客匠人(ckjr001),中国,直接竞品,~2014,11年SaaS老兵(50000+ IP客户),未披露近期融资 (成熟SaaS盈利),AI克隆老师+数字人直播+陪跑服务三位一体,知识付费IP+培训机构+创始人IP (B端导向),8,拥有教培行业渠道+语音克隆+数字人+AI答疑全栈,主打大IP/机构不做腰部/缺时间戳溯源/视频切片弱,高,弱,中,弱中,中,中国最大威胁——渠道+品牌+数字人栈已闭环;必须用"腰部博主+时间戳+切片"错位
3,硅基智能(Guiji),中国,相关竞品,2017,司马华鹏,D轮2亿RMB估值31.5亿(2025-05)IPO进程中,数字人直播+数字永生+语音克隆基础设施,政府/金融/电商/医疗B端+数字永生C端,5,数字人渲染与语音克隆底层;2024营收6.55亿RMB市占率32.2%,不做博主私域RAG+付费漏斗/不重时间戳,中,弱,无,无,高,冲IPO不会转向博主SaaS但一旦转就是降维打击
4,Coachvox AI,英国,直接竞品,2023,Jodie Cook (Forbes专栏作者),Bootstrap/小额天使 未披露机构轮,博主内容训练的AI教练克隆+订阅变现,商业教练/顾问,8,订阅变现模型($10-99/月)已跑通,缺视频ASR/切片/实时语音(弱于Delphi),中,中,弱,中,中,规模小但同wedge;直接参照
5,CommuniPass GuruAI,美国,直接竞品,~2023,未披露,Bootstrap/未披露,AI教练 trained on creator content (付费社群/挑战/高端tier),"$5k-$50k/月教练"(同MeBotAI ICP区间),8,完整订阅+付费社群+24/7 Q&A漏斗,弱切片分发/弱视频原生,中高,中,弱,中高,中,最接近MeBotAI的海外同构之一
6,Personify.fyi,美国,直接竞品,未披露,未披露,未披露,Done-for-you AI教练克隆(97%语音准确率+14天部署),商业教练,7,服务型部署+高语音准确率,代做服务模式不是自助SaaS,中低,中,弱,中,低,服务公司不是平台
7,Tyler Denk's DenkBot (on Delphi),美国,直接竞品(案例),2026-Q1,Tyler Denk (Beehiiv CEO),基于Delphi,Beehiiv CEO的Delphi克隆版(Inc杂志报道),Beehiiv订阅读者,8,证明Delphi对有存量粉丝的创作者可用,是Delphi案例不是独立产品,低,随Delphi,随Delphi,中,高,说明"博主+订阅+AI克隆"路径已跑通
8,MindBank AI,美国,直接竞品,未披露,未披露,未披露,2分钟 onboarding+个性化LLM+可变现孪生(legacy/知识焦点),个人用户+legacy,7,快速上手,更个人/legacy向不是创作者漏斗,中低,中,弱,中,中,方向偏"数字永生"弱变现漏斗
9,TwinTone AI,海外,直接竞品,未披露,未披露,未披露,创作者AI Twin+24/7多语言粉丝互动(视频通话+直播)+订阅+区块链IP,创作者(粉丝经济向),7,粉丝互动+多语言+订阅+区块链IP所有权,弱知识/methodology/切片,中,弱,弱,中,低,偏fan engagement不偏knowledge
10,Twin Protocol,海外,直接竞品(Web3),未披露,未披露,未披露,区块链AI Twin市场+专家服务,领域专家,6,Web3市场+专家服务变现,Web3模型不适合中国,低,弱,弱,中,低,不同商业模式
11,Sensay,海外,相关竞品,未披露,未披露,未披露,企业员工/专家知识捕获(AI语音访谈+文件ingest),企业知识管理,5,知识访谈捕获,偏企业不偏创作者变现,低,中,弱,弱,中,企业知识向不同ICP
12,Fanvue,海外,相关竞品,未披露,未披露,未披露,创作者订阅平台+AI创作者支持+AI粉丝回复助手,虚拟/成人创作者,5,已支持AI创作者+订阅变现,偏成人/虚拟不是知识创作者,低,无,无,中,中,不同垂直但验证AI+订阅可行
13,Rocky.ai,海外,间接竞品,未披露,未披露,未披露,企业级多Agent AI教练平台(白牌),企业,5,多Agent+白牌,企业向不是创作者向,低,无,中,中,中,企业向
14,Character.AI,美国,间接竞品,2021,Noam Shazeer/Daniel De Freitas,已融数亿美元,AI角色扮演+陪伴(100M+ MAU无创作者分成),C端用户(角色创作者和消费者),3,100M+用户+ c.ai+订阅$9.99/月 2025营收$50M,不给创作者分成(战略缺口),低(暂时),弱,弱,无,高,"无创作者分成"是全球最大未变现AI创作者市场;一旦转向就是冲击
15,HeyGen,美国,相关竞品,2020,Joshua Xu,$69M+ ARR报$100M+,AI数字人视频生成+LiveAvatar实时互动+Video Agent,企业营销/L&D/创作者,6,"Video Agent"全链路(脚本+头像+配音+剪辑+分发),企业向无创作者paywall SKU,中高,无,弱,中,高,一旦加创作者paywall SKU就变直接竞品
16,Synthesia,英国,相关竞品,2017,Victor Riparbelli等,E轮$200M @ $4B估值(2026-01 GV/Accel/NEA),AI头像视频+向对话学习Agent延伸,企业L&D/营销,4,ARR $150M+;转向Conversational Learning Agents,纯企业向,中低(创作者市场),无,弱,弱,高,enterprise级竞争不直接威胁我们
17,Tavus,美国,基础设施,~2020,YC S21,A轮$18M Scale Venture Partners,实时AI头像API+Phoenix-4情感智能头像,开发者/企业,6,基础设施API+30+语言实时,infra不是直接竞品但会commoditize底层,中,无,无,无,高,infra供应商未来或竞合
18,Anam AI,英国,基础设施,2023,Ben Carr/Caoimhe Murphy,种子$9M Redpoint(2025)总$11.3M,实时互动AI头像API平台,开发者,4,实时头像infra,纯infra非应用,低(直接)高(commoditize),无,无,无,高,会压缩头像底层价格
19,ElevenLabs,美国,基础设施,2022,Mati Staniszewski/Piotr Dąbkowski,D轮$500M @ $11B(2026-01 Sequoia/a16z),语音AI事实标准+Agents平台,开发者/企业,3,ARR $330M+ voice业界标准,voice infra不是应用,低(直接),无,无,无,高,我们大概率是下游用户不是竞争;但Agents平台需监控
20,Opus Clip,美国,间接竞品(切片),2022,Young Zhao,总$30M+ 含SoftBank VF2 $20M @ $215M(2025-03),AI长视频转短视频自动切片,创作者,5,单次22条切片+9.8分命中率全球基准,纯切片工具无Q&A/漏斗/方法论,中,无,无,无,高,MeBotAI可能整合或替代
21,Vizard,美国,间接竞品(切片),未披露,未披露,未披露,AI切片+翻译+发布工作流,创作者,5,切片+多语言+工作流,同OpusClip同质化,中低,无,无,无,中,和OpusClip同质化
22,Descript,美国,间接竞品(剪辑),2017,Andrew Mason,已有C轮,AI音视频编辑+Underlord agentic co-editor,播客/创作者,4,30+ AI工具+Underlord agent,剪辑工具不是Q&A/漏斗,低,无,无,弱,高,"Underlord"方向值得监控
23,Castmagic,美国,间接竞品(播客),未披露,未披露,未披露,播客转内容(转录+摘要+社交帖),播客创作者,5,播客内容衍生自动化,无Q&A/漏斗,低,无,无,无,中,有可能叠加Q&A
24,Snipd/Podwise/BibiGPT/PodCurator,多国,间接竞品(播客搜索),多个,多个,多个,播客语义搜索+时间戳+Q&A(针对听众),播客听众,4,播客方向时间戳语义搜索(PodCurator比关键词高30%),针对听众不是创作者owned agent,低,中,弱,弱,高,验证时间戳语义搜索可行
25,录咖 RecCloud,中国,间接竞品(切片),未披露,未披露,未披露,AI全栈视频+AI切片,创作者,4,产品覆盖面广,缺博主方法论封装,中低,无,无,无,中,中国本地替代品
26,一帧秒创,中国,间接竞品(切片),未披露,新榜系,未披露,AIGC文字生视频+切片,创作者/MCN,4,新榜生态+MCN渠道,通用切片非垂直Agent,中,无,无,无,中,有MCN渠道
27,腾讯智影/剪映AI,中国,间接竞品(切片),多年,腾讯/字节,大厂内部,通用AI剪辑(非博主IP),创作者/大众,3,大厂产品免费,非垂直/无漏斗,低,无,无,无,高,大厂产品威胁小但压价
28,扣子Coze,中国,相关竞品(平台),2024,字节跳动,字节内部,无代码Agent+RAG+开源Coze Studio,开发者/有技术博主,6,字节分发+生态最大+付费已启动(单源称头部开发者月入2万+),要博主自己搭/无垂直漏斗/无切片矩阵,中高,中,中(需自搭),弱,中,土壤非对手;但有人基于Coze搭"博主版MeBotAI"会压缩我们空间
29,腾讯元器(Yuanqi),中国,相关竞品(平台),~2024,腾讯混元,腾讯内部,腾讯混元Agent平台+RAG+插件+工作流,开发者/B端,5,腾讯生态+API付费,和Coze对位非博主向,中,中,中,弱,中,和Coze同质
30,腾讯元宝派,中国,战略风险,2026-02-01,腾讯混元孵化,腾讯内部,AI社交空间(用户拉Yuanbao入群),C端泛用户,3,公测中+未来"一起看/听",群聊AI助手非博主IP克隆,中,无,无,无,高,腾讯微信生态一旦做"个人AI分身"就是直接竞争 12-18月必须占位
31,小鹅通,中国,渠道威胁,~2016,鲍春健等,未披露近期,知识付费SaaS+AI助手+AI互动课+数字人模块,吴晓波/十点读书/新东方等头部+中长尾博主,7,最宽博主渠道+交付能力+AI功能叠加,AI功能是"叠加"非重构;不做时间戳;不做切片矩阵,高,弱,弱,弱,中,如果认真做AI分身功能渠道碾压我们;可能成为潜在收购方
32,知识星球,中国,潜在整合对象,~2016,吴鲁加,未披露,付费社群头部(零星AI外挂),博主+付费粉丝,4,2亿DAU付费社群基础设施,官方无AI分身功能(信息空白),低-中,弱,无,无,低(空白),留给我们做接入;可能集成对象
33,Nas.com,美国,间接竞品(创作者OS),2023前,Nuseir Yassin,A轮$27M Khosla领投(2026-04),AI OS for solopreneurs,创作者/solopreneur,5,"一人公司"AI OS,非博主IP特化,中低,无,弱,中,高,Khosla投资验证"一人公司AI工具"赛道
34,Beehiiv,美国,平台风险,~2021,Tyler Denk,Q1 2026 +$4.5M ARR,Newsletter+Podcast+创作者平台(MCP接入),Newsletter/Podcast创作者,5,50k活跃用户+3月2026 MCP暴露账户给外部AI,可被MeBotAI集成为素材源,低,弱,无,无,高,Tyler本人用Delphi=强信号;可能成合作/竞合
35,Viven,美国,相关竞品(B端),未披露,Eightfold co-founders,种子$35M (2025-10 Khosla领投),企业员工数字孪生+查询"不在场同事",企业,3,Khosla背书+企业知识twin,企业向非创作者,低,中,弱,弱,高,证明"数字孪生"方向被VC认可
36,Simile,美国,相关竞品,未披露,未披露,$100M(2026-02 单源),AI digital twin(SiliconANGLE单源),未明,3,大额融资(需交叉验证),信息不足,低,无,无,无,低,单源信息不完整
37,Pickmybrain,欧洲,直接竞品,未披露,未披露,Pre-seed $2.1M,专家"Digital Brain"变现(MeBotAI欧洲版同构),知识型专家,8,MeBotAI几乎同构+已获种子轮,规模小,中,中,弱,中,中,欧洲版同构证明路径可行
38,OpenAI(通过Convogo收购),美国,战略风险,2015,Sam Altman,收购Convogo(2026-01),通用AI+收购executive coaching AI,全品类,2,收购进入coach AI方向,平台风险,低(短期)高(长期),弱,弱,弱,高,OpenAI对coach AI开始有动作
39,Meta(内部Zuck克隆),美国,趋势信号,2004,Mark Zuckerberg,巨头,员工用AI克隆Zuck交互(2026-04),员工内部,2,巨头验证"人的克隆"方向,内部工具,低,无,无,无,中,主流化信号
40,MiniMax星野/阅文筑梦岛/字节猫箱,中国,弱关联,2023-2024,各自,各自,AI角色陪伴(C2C虚拟角色),C端情绪,2,验证"AI分身市场被教育",纯虚拟非真实博主,低,无,无,无,高,教育市场认知但不同赛道
